leftTime,leftX,leftY,leftZ,rightTime,rightX,rightY,rightZ
2033,-0.7671366333961487,-0.49556344747543335,0.013908756896853447,1938,0.0339844673871994,-0.043013136833906174,-0.03439265862107277
2137,-0.8386285305023193,-0.540703535079956,-0.15396413207054138,2039,-0.3421996831893921,-0.11140421032905579,-0.18759216368198395
2237,-1.3437082767486572,-0.5414363741874695,-0.1822686642408371,2142,0.33704960346221924,-0.3316742777824402,-0.40430107712745667
2336,-1.1958434581756592,-1.0140633583068848,-0.0932084321975708,2243,1.171470284461975,-0.7194640040397644,-0.9274083971977234
2438,-0.9664835929870605,-0.3960113525390625,0.18470841646194458,2349,1.4808450937271118,-1.6982123851776123,-1.2585318088531494
2540,-0.7329754829406738,-0.2932882010936737,-0.10711563378572464,2450,1.233945369720459,-0.2769851088523865,-1.236230731010437
2640,-0.452376127243042,-0.33867254853248596,-0.016591237857937813,2552,0.4385770261287689,-0.41325104236602783,-0.9424376487731934
2743,-0.5702279210090637,-0.35087132453918457,0.1464006006717682,2654,0.6659746170043945,-0.6613597273826599,-0.6190711855888367
2841,-0.5094721913337708,-0.49409928917884827,-0.2225276678800583,2754,0.9753494262695312,-0.4782150089740753,-0.6491293907165527
2945,-1.1507034301757812,-0.5631514191627502,-0.04733552038669586,2855,0.8094506859779358,-0.6638089418411255,-0.8672927618026733
3047,-1.2178043127059937,-0.6761236786842346,-0.17031264305114746,2958,0.9900040030479431,-0.677976131439209,-1.203749179840088
3152,-1.5789247751235962,-0.6170763969421387,-0.07564005255699158,3064,0.5861093401908875,-0.5530107617378235,-0.7334877252578735
3254,-0.9518435001373291,-0.41382402181625366,0.009271985851228237,3164,0.42119890451431274,-0.11297572404146194,-0.3310979902744293
3355,-0.6470878720283508,-0.6475764513015747,-0.09662377089262009,3267,0.311427503824234,-0.12519483268260956,-0.5095072984695435
3459,-1.4054394960403442,-0.3869836628437042,-0.013420185074210167,3367,0.29192492365837097,-0.2770932614803314,-0.4333927631378174
3565,-1.41398024559021,-0.7183353900909424,-0.20178823173046112,3472,0.6296185851097107,-0.5213026404380798,-0.6234375238418579
3660,-1.1038564443588257,-0.5755959749221802,0.17982736229896545,3573,1.1873779296875,-0.7938368320465088,-0.8871729969978333
3765,-0.823499858379364,-0.4560357630252838,0.04123614355921745,3676,1.2586405277252197,-0.547206461429596,-0.7150665521621704
3863,-0.602436363697052,-0.0814966931939125,0.18348854780197144,3781,1.2264554500579834,-0.8778597712516785,-0.9468047022819519
3964,-0.5177686214447021,-0.12639246881008148,0.03757651522755623,3882,1.0210388898849487,-0.02952355146408081,-0.9322606325149536
